type_specifier/INT (Col:4,Ln:1) 0
declaration_specifiers/type_specifier (Col:9,Ln:1) 1
direct_declarator/IDENTIFIER (Col:9,Ln:1) 2
direct_declarator/direct_declarator '(' ')' (Col:11,Ln:1) 3
declarator/direct_declarator (Col:12,Ln:1) 4

type_specifier/INT (Col:8,Ln:2) 5
declaration_specifiers/type_specifier (Col:10,Ln:2) 6
direct_declarator/IDENTIFIER (Col:10,Ln:2) 7
declarator/direct_declarator (Col:12,Ln:2) 8
primary_expression/CONSTANT (Col:14,Ln:2) 9
postfix_expression/primary_expression (Col:10,Ln:14) 2
unary_expression/postfix_expression (Col:15,Ln:2) 11
cast_expression/unary_expression (Col:15,Ln:2) 12
multiplicative_expression/cast_expression (Col:15,Ln:2) 13
additive_expression/multiplicative_expression (Col:15,Ln:2) 14
shift_expression/additive_expression (Col:15,Ln:2) 15
relational_expression/shift_expression (Col:15,Ln:2) 16
equality_expression/relational_expression (Col:15,Ln:2) 17
and_expression/equality_expression (Col:15,Ln:2) 18
exclusive_or_expression/and_expression (Col:15,Ln:2) 19
inclusive_or_expression/exclusive_or_expression (Col:15,Ln:2) 20
logical_and_expression/inclusive_or_expression (Col:15,Ln:2) 21
logical_or_expression/logical_and_expression (Col:15,Ln:2) 22
conditional_expression/logical_or_expression (Col:15,Ln:2) 23
assignment_expression/conditional_expression (Col:15,Ln:2) 24
initializer/assignment_expression (Col:15,Ln:2) 25
init_declarator/declarator '=' initializer (Col:15,Ln:2) 26
init_declarator_list/init_declarator (Col:15,Ln:2) 27
direct_declarator/IDENTIFIER (Col:17,Ln:2) 28
declarator/direct_declarator (Col:18,Ln:2) 29
init_declarator/declarator (Col:18,Ln:2) 30
init_declarator_list/init_declarator_list ',' init_declarator (Col:18,Ln:2) 31
declaration/declaration_specifiers init_declarator_list ';' (Col:18,Ln:2) 32
declaration_list/declaration (Col:18,Ln:2) 33

compound_statement/'{' declaration_list '}' (Col:2,Ln:3) 34
function_definition/declaration_specifiers declarator compound_statement (Col:2,Ln:3) 35
external_declaration/function_definition (Col:2,Ln:3) 36
translation_unit/external_declaration (Col:2,Ln:3) 37

